crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,bbtown,lstat,medv
0.082,0,13.92,0,0.437,6.009,42.3,5.503,4,289,16,396.898,10.4,21.7
0.129,0,13.92,0,0.437,6.678,31.1,5.96,4,289,16,396.898,6.27,28.6
0.054,0,13.92,0,0.437,6.549,51,5.96,4,289,16,392.85,7.39,27.1
0.141,0,13.92,0,0.437,5.79,58,6.32,4,289,16,396.898,15.84,20.3
0.065,70,2.24,0,0.4,6.345,20.1,7.828,5,358,14.8,368.238,4.97,22.5
0.056,70,2.24,0,0.4,7.041,10,7.828,5,358,14.8,371.578,4.74,29
0.044,70,2.24,0,0.4,6.871,47.4,7.828,5,358,14.8,390.859,6.07,24.8
0.035,34,6.09,0,0.433,6.59,40.4,5.492,7,329,16.1,395.75,9.5,22
0.093,34,6.09,0,0.433,6.495,18.4,5.492,7,329,16.1,383.609,8.67,26.4
0.1,34,6.09,0,0.433,6.982,17.7,5.492,7,329,16.1,390.43,4.86,33.1
0.055,33,2.18,0,0.472,7.236,41.1,4.022,7,222,18.4,393.68,6.93,36.1
0.055,33,2.18,0,0.472,6.616,58.1,3.37,7,222,18.4,393.359,8.93,28.4
0.075,33,2.18,0,0.472,7.42,71.9,3.099,7,222,18.4,396.898,6.47,33.4
0.049,33,2.18,0,0.472,6.849,70.3,3.183,7,222,18.4,396.898,7.53,28.2
0.493,0,9.9,0,0.544,6.635,82.5,3.317,4,304,18.4,396.898,4.54,22.8
0.349,0,9.9,0,0.544,5.972,76.7,3.102,4,304,18.4,396.238,9.97,20.3
2.635,0,9.9,0,0.544,4.973,37.8,2.519,4,304,18.4,350.449,12.64,16.1
0.79,0,9.9,0,0.544,6.122,52.8,2.64,4,304,18.4,396.898,5.98,22.1
0.262,0,9.9,0,0.544,6.023,90.4,2.834,4,304,18.4,396.299,11.72,19.4
0.269,0,9.9,0,0.544,6.266,82.8,3.263,4,304,18.4,393.389,7.9,21.6
0.369,0,9.9,0,0.544,6.567,87.3,3.602,4,304,18.4,395.689,9.28,23.8
0.254,0,9.9,0,0.544,5.705,77.7,3.945,4,304,18.4,396.42,11.5,16.2
0.318,0,9.9,0,0.544,5.914,83.2,3.999,4,304,18.4,390.699,18.33,17.8
0.245,0,9.9,0,0.544,5.782,71.7,4.032,4,304,18.4,396.898,15.94,19.8
0.402,0,9.9,0,0.544,6.382,67.2,3.532,4,304,18.4,395.209,10.36,23.1
0.475,0,9.9,0,0.544,6.113,58.8,4.002,4,304,18.4,396.229,12.73,21
0.168,0,7.38,0,0.493,6.426,52.3,4.54,5,287,19.6,396.898,7.2,23.8
0.182,0,7.38,0,0.493,6.376,54.3,4.54,5,287,19.6,396.898,6.87,23.1
0.351,0,7.38,0,0.493,6.041,49.9,4.721,5,287,19.6,396.898,7.7,20.4
0.284,0,7.38,0,0.493,5.708,74.3,4.721,5,287,19.6,391.129,11.74,18.5
0.341,0,7.38,0,0.493,6.415,40.1,4.721,5,287,19.6,396.898,6.12,25
0.192,0,7.38,0,0.493,6.431,14.7,5.416,5,287,19.6,393.68,5.08,24.6
0.303,0,7.38,0,0.493,6.312,28.9,5.416,5,287,19.6,396.898,6.15,23
0.241,0,7.38,0,0.493,6.083,43.7,5.416,5,287,19.6,396.898,12.79,22.2
0.066,0,3.24,0,0.46,5.868,25.8,5.215,4,430,16.9,382.439,9.97,19.3
0.067,0,3.24,0,0.46,6.333,17.2,5.215,4,430,16.9,375.209,7.34,22.6
0.045,0,3.24,0,0.46,6.144,32.2,5.874,4,430,16.9,368.568,9.09,19.8
0.05,35,6.06,0,0.438,5.706,28.4,6.641,1,304,16.9,394.02,12.43,17.1
0.035,35,6.06,0,0.438,6.031,23.3,6.641,1,304,16.9,362.25,7.83,19.4
0.051,0,5.19,0,0.515,6.316,38.1,6.458,5,224,20.2,389.709,5.68,22.2
0.037,0,5.19,0,0.515,6.31,38.5,6.458,5,224,20.2,389.398,6.75,20.7
0.04,0,5.19,0,0.515,6.037,34.5,5.985,5,224,20.2,396.898,8.01,21.1
0.034,0,5.19,0,0.515,5.869,46.3,5.231,5,224,20.2,396.898,9.8,19.5
0.03,0,5.19,0,0.515,5.895,59.6,5.615,5,224,20.2,394.809,10.56,18.5
0.033,0,5.19,0,0.515,6.059,37.3,4.812,5,224,20.2,396.139,8.51,20.6
0.055,0,5.19,0,0.515,5.985,45.4,4.812,5,224,20.2,396.898,9.74,19
0.062,0,5.19,0,0.515,5.968,58.5,4.812,5,224,20.2,396.898,9.29,18.7
0.013,35,1.52,0,0.442,7.241,49.3,7.038,1,284,15.5,394.738,5.49,32.7
0.025,0,1.89,0,0.518,6.54,59.7,6.267,1,422,15.9,389.959,8.65,16.5
0.025,55,3.78,0,0.484,6.696,56.4,5.732,5,370,17.6,396.898,7.18,23.9
0.03,55,3.78,0,0.484,6.874,28.1,6.465,5,370,17.6,387.969,4.61,31.2
0.031,0,4.39,0,0.442,6.014,48.5,8.014,3,352,18.8,385.639,10.53,17.5
0.062,0,4.39,0,0.442,5.898,52.3,8.014,3,352,18.8,364.609,12.67,17.2
0.019,85,4.15,0,0.429,6.516,27.7,8.535,4,351,17.9,392.43,6.36,23.1
0.015,80,2.01,0,0.435,6.635,29.7,8.344,4,280,17,390.939,5.99,24.5
0.029,40,1.25,0,0.429,6.939,34.5,8.792,1,335,19.7,389.85,5.89,26.6
0.062,40,1.25,0,0.429,6.49,44.4,8.792,1,335,19.7,396.898,5.98,22.9
0.079,60,1.69,0,0.411,6.579,35.9,10.71,4,411,18.3,370.779,5.49,24.1
0.072,60,1.69,0,0.411,5.884,18.5,10.71,4,411,18.3,392.328,7.79,18.6
0.017,90,2.02,0,0.41,6.728,36.1,12.126,5,187,17,384.459,4.5,30.1
0.043,80,1.91,0,0.413,5.663,21.9,10.586,4,334,22,382.799,8.05,18.2
0.107,80,1.91,0,0.413,5.936,19.5,10.586,4,334,22,376.039,5.57,20.6
8.983,0,18.1,1,0.77,6.212,97.4,2.122,24,666,20.2,377.729,17.6,17.8
3.85,0,18.1,1,0.77,6.395,91,2.505,24,666,20.2,391.34,13.27,21.7
5.202,0,18.1,1,0.77,6.127,83.4,2.723,24,666,20.2,395.43,11.48,22.7
4.261,0,18.1,0,0.77,6.112,81.3,2.509,24,666,20.2,390.738,12.67,22.6
4.542,0,18.1,0,0.77,6.398,88,2.518,24,666,20.2,374.559,7.79,25
3.837,0,18.1,0,0.77,6.251,91.1,2.295,24,666,20.2,350.648,14.19,19.9
3.678,0,18.1,0,0.77,5.362,96.2,2.104,24,666,20.2,380.789,10.19,20.8
4.222,0,18.1,1,0.77,5.803,89,1.905,24,666,20.2,353.039,14.64,16.8
3.474,0,18.1,1,0.718,8.78,82.9,1.905,24,666,20.2,354.549,5.29,21.9
4.556,0,18.1,0,0.718,3.561,87.9,1.613,24,666,20.2,354.699,7.12,27.5
3.697,0,18.1,0,0.718,4.963,91.4,1.752,24,666,20.2,316.029,14,21.9
13.522,0,18.1,0,0.631,3.863,100,1.511,24,666,20.2,131.42,13.33,23.1
4.898,0,18.1,0,0.631,4.97,100,1.332,24,666,20.2,375.52,3.26,50
5.67,0,18.1,1,0.631,6.683,96.8,1.357,24,666,20.2,375.328,3.73,50
6.539,0,18.1,1,0.631,7.016,97.5,1.202,24,666,20.2,392.049,2.96,50
9.232,0,18.1,0,0.631,6.216,100,1.169,24,666,20.2,366.148,9.53,50
8.267,0,18.1,1,0.668,5.875,89.6,1.13,24,666,20.2,347.879,8.88,50
11.108,0,18.1,0,0.668,4.906,100,1.174,24,666,20.2,396.898,34.77,13.8
18.498,0,18.1,0,0.668,4.138,100,1.137,24,666,20.2,396.898,37.97,13.8
19.609,0,18.1,0,0.671,7.313,97.9,1.316,24,666,20.2,396.898,13.44,15
15.288,0,18.1,0,0.671,6.649,93.3,1.345,24,666,20.2,363.02,23.24,13.9
9.823,0,18.1,0,0.671,6.794,98.8,1.358,24,666,20.2,396.898,21.24,13.3
23.648,0,18.1,0,0.671,6.38,96.2,1.386,24,666,20.2,396.898,23.69,13.1
17.867,0,18.1,0,0.671,6.223,100,1.386,24,666,20.2,393.738,21.78,10.2
88.976,0,18.1,0,0.671,6.968,91.9,1.416,24,666,20.2,396.898,17.21,10.4
15.874,0,18.1,0,0.671,6.545,99.1,1.519,24,666,20.2,396.898,21.08,10.9
9.187,0,18.1,0,0.7,5.536,100,1.58,24,666,20.2,396.898,23.6,11.3
7.992,0,18.1,0,0.7,5.52,100,1.533,24,666,20.2,396.898,24.56,12.3
20.085,0,18.1,0,0.7,4.368,91.2,1.439,24,666,20.2,285.828,30.63,8.8
16.812,0,18.1,0,0.7,5.277,98.1,1.426,24,666,20.2,396.898,30.81,7.2
24.394,0,18.1,0,0.7,4.652,100,1.467,24,666,20.2,396.898,28.28,10.5
22.597,0,18.1,0,0.7,5,89.5,1.518,24,666,20.2,396.898,31.99,7.4
14.334,0,18.1,0,0.7,4.88,100,1.589,24,666,20.2,372.92,30.62,10.2
8.152,0,18.1,0,0.7,5.39,98.9,1.728,24,666,20.2,396.898,20.85,11.5
6.962,0,18.1,0,0.7,5.713,97,1.926,24,666,20.2,394.43,17.11,15.1
5.293,0,18.1,0,0.7,6.051,82.5,2.168,24,666,20.2,378.379,18.76,23.2
11.578,0,18.1,0,0.7,5.036,97,1.77,24,666,20.2,396.898,25.68,9.7
8.645,0,18.1,0,0.693,6.193,92.6,1.791,24,666,20.2,396.898,15.17,13.8
13.36,0,18.1,0,0.693,5.887,94.7,1.782,24,666,20.2,396.898,16.35,12.7
8.717,0,18.1,0,0.693,6.471,98.8,1.726,24,666,20.2,391.979,17.12,13.1
5.872,0,18.1,0,0.693,6.405,96,1.677,24,666,20.2,396.898,19.37,12.5
7.672,0,18.1,0,0.693,5.747,98.9,1.633,24,666,20.2,393.1,19.92,8.5
38.352,0,18.1,0,0.693,5.453,100,1.49,24,666,20.2,396.898,30.59,5
9.917,0,18.1,0,0.693,5.852,77.8,1.5,24,666,20.2,338.158,29.97,6.3
25.046,0,18.1,0,0.693,5.987,100,1.589,24,666,20.2,396.898,26.77,5.6
14.236,0,18.1,0,0.693,6.343,100,1.574,24,666,20.2,396.898,20.32,7.2
9.596,0,18.1,0,0.693,6.404,100,1.639,24,666,20.2,376.109,20.31,12.1
24.802,0,18.1,0,0.693,5.349,96,1.703,24,666,20.2,396.898,19.77,8.3
41.529,0,18.1,0,0.693,5.531,85.4,1.607,24,666,20.2,329.459,27.38,8.5
67.92,0,18.1,0,0.693,5.683,100,1.425,24,666,20.2,384.969,22.98,5
20.716,0,18.1,0,0.659,4.138,100,1.178,24,666,20.2,370.219,23.34,11.9
11.951,0,18.1,0,0.659,5.608,100,1.285,24,666,20.2,332.09,12.13,27.9
7.404,0,18.1,0,0.597,5.617,97.9,1.455,24,666,20.2,314.639,26.4,17.2
14.438,0,18.1,0,0.597,6.852,100,1.465,24,666,20.2,179.359,19.78,27.5
51.136,0,18.1,0,0.597,5.757,100,1.413,24,666,20.2,2.6,10.11,15
14.051,0,18.1,0,0.597,6.657,100,1.527,24,666,20.2,35.05,21.22,17.2
18.811,0,18.1,0,0.597,4.628,100,1.554,24,666,20.2,28.79,34.37,17.9
28.656,0,18.1,0,0.597,5.155,100,1.589,24,666,20.2,210.97,20.08,16.3
45.746,0,18.1,0,0.693,4.519,100,1.658,24,666,20.2,88.27,36.98,7
18.085,0,18.1,0,0.679,6.434,100,1.835,24,666,20.2,27.25,29.05,7.2
10.834,0,18.1,0,0.679,6.782,90.8,1.819,24,666,20.2,21.57,25.79,7.5
25.941,0,18.1,0,0.679,5.304,89.1,1.647,24,666,20.2,127.36,26.64,10.4
73.534,0,18.1,0,0.679,5.957,100,1.803,24,666,20.2,16.45,20.62,8.8
11.812,0,18.1,0,0.718,6.824,76.5,1.794,24,666,20.2,48.45,22.74,8.4
11.087,0,18.1,0,0.718,6.411,100,1.859,24,666,20.2,318.75,15.02,16.7
7.023,0,18.1,0,0.718,6.006,95.3,1.875,24,666,20.2,319.979,15.7,14.2
12.048,0,18.1,0,0.614,5.648,87.6,1.951,24,666,20.2,291.549,14.1,20.8
7.05,0,18.1,0,0.614,6.103,85.1,2.022,24,666,20.2,2.52,23.29,13.4
8.792,0,18.1,0,0.584,5.565,70.6,2.063,24,666,20.2,3.65,17.16,11.7
15.86,0,18.1,0,0.679,5.896,95.4,1.91,24,666,20.2,7.68,24.39,8.3
12.247,0,18.1,0,0.584,5.837,59.7,1.998,24,666,20.2,24.65,15.69,10.2
37.662,0,18.1,0,0.679,6.202,78.7,1.863,24,666,20.2,18.82,14.52,10.9
7.367,0,18.1,0,0.679,6.193,78.1,1.936,24,666,20.2,96.73,21.52,11
9.339,0,18.1,0,0.679,6.38,95.6,1.968,24,666,20.2,60.72,24.08,9.5
8.492,0,18.1,0,0.584,6.348,86.1,2.053,24,666,20.2,83.45,17.64,14.5
10.062,0,18.1,0,0.584,6.833,94.3,2.088,24,666,20.2,81.33,19.69,14.1
6.444,0,18.1,0,0.584,6.425,74.8,2.2,24,666,20.2,97.95,12.03,16.1
5.581,0,18.1,0,0.713,6.436,87.9,2.316,24,666,20.2,100.19,16.22,14.3
13.913,0,18.1,0,0.713,6.208,95,2.222,24,666,20.2,100.63,15.17,11.7
11.16,0,18.1,0,0.74,6.629,94.6,2.125,24,666,20.2,109.85,23.27,13.4
14.421,0,18.1,0,0.74,6.461,93.3,2.003,24,666,20.2,27.49,18.05,9.6
15.177,0,18.1,0,0.74,6.152,100,1.914,24,666,20.2,9.32,26.45,8.7
13.678,0,18.1,0,0.74,5.935,87.9,1.821,24,666,20.2,68.95,34.02,8.4
9.391,0,18.1,0,0.74,5.627,93.9,1.817,24,666,20.2,396.898,22.88,12.8
22.051,0,18.1,0,0.74,5.818,92.4,1.866,24,666,20.2,391.449,22.11,10.5
9.724,0,18.1,0,0.74,6.406,97.2,2.065,24,666,20.2,385.959,19.52,17.1
5.666,0,18.1,0,0.74,6.219,100,2.005,24,666,20.2,395.689,16.59,18.4
9.966,0,18.1,0,0.74,6.485,100,1.978,24,666,20.2,386.729,18.85,15.4
12.802,0,18.1,0,0.74,5.854,96.6,1.896,24,666,20.2,240.52,23.79,10.8
10.672,0,18.1,0,0.74,6.459,94.8,1.988,24,666,20.2,43.06,23.98,11.8
6.288,0,18.1,0,0.74,6.341,96.4,2.072,24,666,20.2,318.01,17.79,14.9
9.925,0,18.1,0,0.74,6.251,96.6,2.198,24,666,20.2,388.52,16.44,12.6
9.329,0,18.1,0,0.713,6.185,98.7,2.262,24,666,20.2,396.898,18.13,14.1
7.526,0,18.1,0,0.713,6.417,98.3,2.185,24,666,20.2,304.209,19.31,13
6.718,0,18.1,0,0.713,6.749,92.6,2.324,24,666,20.2,0.32,17.44,13.4
5.441,0,18.1,0,0.713,6.655,98.2,2.355,24,666,20.2,355.289,17.73,15.2
5.09,0,18.1,0,0.713,6.297,91.8,2.368,24,666,20.2,385.09,17.27,16.1
8.248,0,18.1,0,0.713,7.393,99.3,2.453,24,666,20.2,375.869,16.74,17.8
9.514,0,18.1,0,0.713,6.728,94.1,2.496,24,666,20.2,6.68,18.71,14.9
4.752,0,18.1,0,0.713,6.525,86.5,2.436,24,666,20.2,50.92,18.13,14.1
4.669,0,18.1,0,0.713,5.976,87.9,2.581,24,666,20.2,10.48,19.01,12.7
8.201,0,18.1,0,0.713,5.936,80.3,2.779,24,666,20.2,3.5,16.94,13.5
7.752,0,18.1,0,0.713,6.301,83.7,2.783,24,666,20.2,272.209,16.23,14.9
6.801,0,18.1,0,0.713,6.081,84.4,2.717,24,666,20.2,396.898,14.7,20
4.812,0,18.1,0,0.713,6.701,90,2.597,24,666,20.2,255.229,16.42,16.4
3.693,0,18.1,0,0.713,6.376,88.4,2.567,24,666,20.2,391.43,14.65,17.7
6.655,0,18.1,0,0.713,6.317,83,2.734,24,666,20.2,396.898,13.99,19.5
5.821,0,18.1,0,0.713,6.513,89.9,2.802,24,666,20.2,393.818,10.29,20.2
7.839,0,18.1,0,0.655,6.209,65.4,2.963,24,666,20.2,396.898,13.22,21.4
3.164,0,18.1,0,0.655,5.759,48.2,3.066,24,666,20.2,334.398,14.13,19.9
3.775,0,18.1,0,0.655,5.952,84.7,2.871,24,666,20.2,22.01,17.15,19
4.422,0,18.1,0,0.584,6.003,94.5,2.54,24,666,20.2,331.289,21.32,19.1
15.576,0,18.1,0,0.58,5.926,71,2.908,24,666,20.2,368.738,18.13,19.1
13.075,0,18.1,0,0.58,5.713,56.7,2.824,24,666,20.2,396.898,14.76,20.1
4.349,0,18.1,0,0.58,6.167,84,3.033,24,666,20.2,396.898,16.29,19.9
4.038,0,18.1,0,0.532,6.229,90.7,3.099,24,666,20.2,395.328,12.87,19.6
3.569,0,18.1,0,0.58,6.437,75,2.896,24,666,20.2,393.369,14.36,23.2
4.647,0,18.1,0,0.614,6.98,67.6,2.533,24,666,20.2,374.68,11.66,29.8
8.056,0,18.1,0,0.584,5.427,95.4,2.43,24,666,20.2,352.578,18.14,13.8
6.393,0,18.1,0,0.584,6.162,97.4,2.206,24,666,20.2,302.76,24.1,13.3
4.871,0,18.1,0,0.614,6.484,93.6,2.305,24,666,20.2,396.209,18.68,16.7
15.023,0,18.1,0,0.614,5.304,97.3,2.101,24,666,20.2,349.479,24.91,12
10.233,0,18.1,0,0.614,6.185,96.7,2.17,24,666,20.2,379.699,18.03,14.6
14.334,0,18.1,0,0.614,6.229,88,1.951,24,666,20.2,383.318,13.11,21.4
5.824,0,18.1,0,0.532,6.242,64.7,3.424,24,666,20.2,396.898,10.74,23
5.708,0,18.1,0,0.532,6.75,74.9,3.332,24,666,20.2,393.068,7.74,23.7
5.731,0,18.1,0,0.532,7.061,77,3.411,24,666,20.2,395.279,7.01,25
2.818,0,18.1,0,0.532,5.762,40.3,4.098,24,666,20.2,392.92,10.42,21.8
2.379,0,18.1,0,0.583,5.871,41.9,3.724,24,666,20.2,370.729,13.34,20.6
3.674,0,18.1,0,0.583,6.312,51.9,3.992,24,666,20.2,388.619,10.58,21.2
5.692,0,18.1,0,0.583,6.114,79.8,3.546,24,666,20.2,392.68,14.98,19.1
4.836,0,18.1,0,0.583,5.905,53.2,3.152,24,666,20.2,388.219,11.45,20.6
0.151,0,27.74,0,0.609,5.454,92.7,1.821,4,711,20.1,395.09,18.06,15.2
0.183,0,27.74,0,0.609,5.414,98.3,1.755,4,711,20.1,344.049,23.97,7
0.207,0,27.74,0,0.609,5.093,98,1.823,4,711,20.1,318.43,29.68,8.1
0.106,0,27.74,0,0.609,5.983,98.8,1.868,4,711,20.1,390.109,18.07,13.6
0.111,0,27.74,0,0.609,5.983,83.5,2.11,4,711,20.1,396.898,13.35,20.1
0.173,0,9.69,0,0.585,5.707,54,2.382,6,391,19.2,396.898,12.01,21.8
0.28,0,9.69,0,0.585,5.926,42.6,2.382,6,391,19.2,396.898,13.59,24.5
0.179,0,9.69,0,0.585,5.67,28.8,2.799,6,391,19.2,393.289,17.6,23.1
0.29,0,9.69,0,0.585,5.39,72.9,2.799,6,391,19.2,396.898,21.14,19.7
0.268,0,9.69,0,0.585,5.794,70.6,2.893,6,391,19.2,396.898,14.1,18.3
0.239,0,9.69,0,0.585,6.019,65.3,2.409,6,391,19.2,396.898,12.92,21.2
0.178,0,9.69,0,0.585,5.569,73.5,2.4,6,391,19.2,395.77,15.1,17.5
0.224,0,9.69,0,0.585,6.027,79.7,2.498,6,391,19.2,396.898,14.33,16.8
0.063,0,11.93,0,0.573,6.593,69.1,2.479,1,273,21,391.988,9.67,22.4
0.045,0,11.93,0,0.573,6.12,76.7,2.287,1,273,21,396.898,9.08,20.6
0.061,0,11.93,0,0.573,6.976,91,2.167,1,273,21,396.898,5.64,23.9
0.11,0,11.93,0,0.573,6.794,89.3,2.389,1,273,21,393.449,6.48,22
0.047,0,11.93,0,0.573,6.03,80.8,2.505,1,273,21,396.898,7.88,11.9
